id,channel,title,url,published,views,duration,baseline,multiple,views_per_day,vpd_multiple
wjZofJX0v4M,3Blue1Brown,"Transformers, the tech behind LLMs | Deep Learning Chapter 5",https://www.youtube.com/watch?v=wjZofJX0v4M,2024-04-01,10858087,1634,1769235,6.14,12625.7,2.84
LPZh9BOjkQs,3Blue1Brown,Large Language Models explained briefly,https://www.youtube.com/watch?v=LPZh9BOjkQs,2024-11-20,7055733,478,1769235,3.99,11253.2,2.53
EmKQsSDlaa4,3Blue1Brown,How are holograms possible?,https://www.youtube.com/watch?v=EmKQsSDlaa4,2024-10-05,6877518,2784,1769235,3.89,10219.2,2.30
6dTyOl1fmDo,3Blue1Brown,Why colliding blocks compute pi,https://www.youtube.com/watch?v=6dTyOl1fmDo,2025-03-13,6250172,1567,1769235,3.53,12159.9,2.74
YdOXS_9_P4U,3Blue1Brown,Terence Tao on the cosmic distance ladder,https://www.youtube.com/watch?v=YdOXS_9_P4U,2025-02-08,5752453,1713,1769235,3.25,10516.4,2.37
eMlx5fFNoYc,3Blue1Brown,"Attention in transformers, step-by-step | Deep Learning Chapter 6",https://www.youtube.com/watch?v=eMlx5fFNoYc,2024-04-07,4382650,1570,1769235,2.48,5131.9,1.16
RQWpF2Gb-gU,3Blue1Brown,But what is quantum computing?  (Grover's Algorithm),https://www.youtube.com/watch?v=RQWpF2Gb-gU,2025-04-30,3832990,2214,1769235,2.17,8225.3,1.85
BHdbsHFs2P0,3Blue1Brown,"Why you can't comb a hairy ball, and why we care",https://www.youtube.com/watch?v=BHdbsHFs2P0,2026-01-31,3307308,1780,1769235,1.87,17406.9,3.92
rbu7Zu5X1zI,3Blue1Brown,How I animate 3Blue1Brown | A Manim demo with Ben Sparks,https://www.youtube.com/watch?v=rbu7Zu5X1zI,2024-10-12,3158890,3221,1769235,1.79,4743.1,1.07
KTzGBJPuJwM,3Blue1Brown,"But why would light ""slow down""? | Visualizing Feynman's lecture on the refractive index",https://www.youtube.com/watch?v=KTzGBJPuJwM,2023-11-30,2830159,1714,1769235,1.60,2879.1,0.65
IQqtsm-bBRU,3Blue1Brown,This open problem taught me what topology is,https://www.youtube.com/watch?v=IQqtsm-bBRU,2024-12-24,2453689,1646,1769235,1.39,4137.8,0.93
9-Jl0dxWQs8,3Blue1Brown,How might LLMs store facts | Deep Learning Chapter 7,https://www.youtube.com/watch?v=9-Jl0dxWQs8,2024-08-31,2178005,1363,1769235,1.23,3076.3,0.69
ldxFjLJ3rVY,3Blue1Brown,How (and why) to take a logarithm of an image,https://www.youtube.com/watch?v=ldxFjLJ3rVY,2026-03-22,1988314,2692,1769235,1.12,14202.2,3.20
iv-5mZ_9CPY,3Blue1Brown,But how do AI images and videos actually work? | Guest video by Welch Labs,https://www.youtube.com/watch?v=iv-5mZ_9CPY,2025-07-25,1983379,2240,1769235,1.12,5219.4,1.18
j0wJBEZdwLs,3Blue1Brown,But what is a Laplace Transform?,https://www.youtube.com/watch?v=j0wJBEZdwLs,2025-10-12,1818597,2081,1769235,1.03,6041.9,1.36
piJkuavhV50,3Blue1Brown,Solving problems by adding a dimension,https://www.youtube.com/watch?v=piJkuavhV50,2024-11-08,1719874,1782,1769235,0.97,2691.5,0.61
hFMaT9oRbs4,3Blue1Brown,Terence Tao continuing history’s cleverest cosmological measurements,https://www.youtube.com/watch?v=hFMaT9oRbs4,2025-02-23,1573361,1535,1769235,0.89,2957.4,0.67
W3I3kAg2J7w,3Blue1Brown,"What ""Follow Your Dreams"" Misses | Harvey Mudd Commencement Speech 2024",https://www.youtube.com/watch?v=W3I3kAg2J7w,2024-05-18,1489188,930,1769235,0.84,1831.7,0.41
l6DKRf-fAAM,3Blue1Brown,Reinventing Entropy | Compression is Intelligence Part 1,https://www.youtube.com/watch?v=l6DKRf-fAAM,2026-06-07,1388502,1940,1769235,0.78,22039.7,4.96
fsLh-NYhOoU,3Blue1Brown,The most beautiful formula not enough people understand,https://www.youtube.com/watch?v=fsLh-NYhOoU,2026-02-27,1301281,3624,1769235,0.74,7983.3,1.80
