id,date_added,channel,title,url,published,views,baseline,multiple,thumbnail_url,duration,formula_tag,why
1zjcnnx7igc,2026-07-21,Real Engineering,The Insane Engineering of the F-117 Nighthawk,https://www.youtube.com/watch?v=1zjcnnx7igc,2024-06-08,5633935,1877032,3.00,https://i.ytimg.com/vi/1zjcnnx7igc/hqdefault.jpg,1657,,
PhW2BjFQCZM,2026-07-21,Practical Engineering,The Los Angeles Aqueduct is Wild,https://www.youtube.com/watch?v=PhW2BjFQCZM,2026-03-17,4715952,1057479,4.46,https://i.ytimg.com/vi/PhW2BjFQCZM/hqdefault.jpg,1379,,
3nDdLiXS5wk,2026-07-21,Practical Engineering,The Bizarre Bases of Antenna Towers,https://www.youtube.com/watch?v=3nDdLiXS5wk,2025-10-07,3763518,1057479,3.56,https://i.ytimg.com/vi/3nDdLiXS5wk/hqdefault.jpg,1088,,
77omYd0JOeA,2026-07-21,Primal Space,The Crazy Engineering of Venice,https://www.youtube.com/watch?v=77omYd0JOeA,2024-07-30,11021738,3016955,3.65,https://i.ytimg.com/vi/77omYd0JOeA/hqdefault.jpg,568,,
kUYzuAJeg3M,2026-07-21,Primal Space,The Self Balancing Monorail,https://www.youtube.com/watch?v=kUYzuAJeg3M,2023-12-22,12092272,3016955,4.01,https://i.ytimg.com/vi/kUYzuAJeg3M/hqdefault.jpg,513,,
mL_OurMlkq0,2026-07-21,Half as Interesting,How Iran Smuggles 777 Airplanes,https://www.youtube.com/watch?v=mL_OurMlkq0,2026-01-14,1002709,332655,3.01,https://i.ytimg.com/vi/mL_OurMlkq0/hqdefault.jpg,387,,
4Y1s9PhH7PI,2026-07-21,Curious Droid,What Is a Neutron Bomb?,https://www.youtube.com/watch?v=4Y1s9PhH7PI,2026-02-28,1938116,115088,16.84,https://i.ytimg.com/vi/4Y1s9PhH7PI/hqdefault.jpg,874,,
iacUimAOH1A,2026-07-21,Curious Droid,How Does a Nuclear Missile Find its Target?,https://www.youtube.com/watch?v=iacUimAOH1A,2025-12-03,542261,115088,4.71,https://i.ytimg.com/vi/iacUimAOH1A/hqdefault.jpg,1139,,
qO4wWrX1-Qk,2026-07-21,Curious Droid,Tomahawk Missile – How is it Nearly 50 Years Old and Still Going Strong?,https://www.youtube.com/watch?v=qO4wWrX1-Qk,2025-10-24,506422,115088,4.40,https://i.ytimg.com/vi/qO4wWrX1-Qk/hqdefault.jpg,964,,
88c-0ZI-vXU,2026-07-21,Curious Droid,How Small Can You Make a Nuclear Weapon?,https://www.youtube.com/watch?v=88c-0ZI-vXU,2025-09-12,795062,115088,6.91,https://i.ytimg.com/vi/88c-0ZI-vXU/hqdefault.jpg,1079,,
g1npYSuNy4U,2026-07-21,Curious Droid,How Different Are Space Computers From Earth-Based Ones?,https://www.youtube.com/watch?v=g1npYSuNy4U,2025-05-16,429405,115088,3.73,https://i.ytimg.com/vi/g1npYSuNy4U/hqdefault.jpg,837,,
PG4gr0Q4904,2026-07-21,Curious Droid,"If it Looks Right, It Will Fly Right - Right ?",https://www.youtube.com/watch?v=PG4gr0Q4904,2024-11-25,397388,115088,3.45,https://i.ytimg.com/vi/PG4gr0Q4904/hqdefault.jpg,1010,,
YpKej05RgsY,2026-07-21,Fall of Civilizations,18. Egypt - Fall of the Pharaohs,https://www.youtube.com/watch?v=YpKej05RgsY,2024-04-30,13735067,4406739,3.12,https://i.ytimg.com/vi/YpKej05RgsY/hqdefault.jpg,14293,,
jpAphcaVJIs,2026-07-21,Fall of Civilizations,13. The Assyrians - Empire of Iron,https://www.youtube.com/watch?v=jpAphcaVJIs,2021-10-16,21750067,4406739,4.94,https://i.ytimg.com/vi/jpAphcaVJIs/hqdefault.jpg,11125,,
d2lJUOv0hLA,2026-07-21,Fall of Civilizations,8. The Sumerians - Fall of the First Cities,https://www.youtube.com/watch?v=d2lJUOv0hLA,2020-08-16,39876912,4406739,9.05,https://i.ytimg.com/vi/d2lJUOv0hLA/hqdefault.jpg,8869,,
