id,date_added,channel,title,url,published,views,baseline,multiple,views_per_day,vpd_multiple,thumbnail_url,duration,formula_tag,why
6dTyOl1fmDo,2026-08-09,3Blue1Brown,Why colliding blocks compute pi,https://www.youtube.com/watch?v=6dTyOl1fmDo,2025-03-13,6250172,1769235,3.53,12159.9,2.74,https://i.ytimg.com/vi/6dTyOl1fmDo/hqdefault.jpg,1567,,
YdOXS_9_P4U,2026-08-09,3Blue1Brown,Terence Tao on the cosmic distance ladder,https://www.youtube.com/watch?v=YdOXS_9_P4U,2025-02-08,5752453,1769235,3.25,10516.4,2.37,https://i.ytimg.com/vi/YdOXS_9_P4U/hqdefault.jpg,1713,,
LPZh9BOjkQs,2026-08-09,3Blue1Brown,Large Language Models explained briefly,https://www.youtube.com/watch?v=LPZh9BOjkQs,2024-11-20,7055733,1769235,3.99,11253.2,2.53,https://i.ytimg.com/vi/LPZh9BOjkQs/hqdefault.jpg,478,,
EmKQsSDlaa4,2026-08-09,3Blue1Brown,How are holograms possible?,https://www.youtube.com/watch?v=EmKQsSDlaa4,2024-10-05,6877518,1769235,3.89,10219.2,2.30,https://i.ytimg.com/vi/EmKQsSDlaa4/hqdefault.jpg,2784,,
wjZofJX0v4M,2026-08-09,3Blue1Brown,"Transformers, the tech behind LLMs | Deep Learning Chapter 5",https://www.youtube.com/watch?v=wjZofJX0v4M,2024-04-01,10858087,1769235,6.14,12625.7,2.84,https://i.ytimg.com/vi/wjZofJX0v4M/hqdefault.jpg,1634,,
5eqRuVp65eY,2026-08-09,Welch Labs,AI can't cross this line and we don't know why.,https://www.youtube.com/watch?v=5eqRuVp65eY,2024-09-13,2457456,371590,6.61,3535.9,2.90,https://i.ytimg.com/vi/5eqRuVp65eY/hqdefault.jpg,1447,,
f8CXG7dS-D0,2026-08-09,Welch Labs,"The most beautiful equation in math, explained visually [Euler’s Formula]",https://www.youtube.com/watch?v=f8CXG7dS-D0,2024-08-12,1802714,371590,4.85,2479.7,2.03,https://i.ytimg.com/vi/f8CXG7dS-D0/hqdefault.jpg,1617,,
UZDiGooFs54,2026-08-09,Welch Labs,The moment we stopped understanding AI [AlexNet],https://www.youtube.com/watch?v=UZDiGooFs54,2024-07-01,2513778,371590,6.76,3268.9,2.68,https://i.ytimg.com/vi/UZDiGooFs54/hqdefault.jpg,1058,,
W06g7gIfwRE,2026-08-09,Welch Labs,Oppenheimer's Gamble - The Plutonium Crisis,https://www.youtube.com/watch?v=W06g7gIfwRE,2023-07-22,2444946,371590,6.58,2194.7,1.80,https://i.ytimg.com/vi/W06g7gIfwRE/hqdefault.jpg,623,,
nD-Dco7xSSU,2026-08-09,Welch Labs,Oppenheimer's Apocalypse Math,https://www.youtube.com/watch?v=nD-Dco7xSSU,2023-07-16,3901465,371590,10.50,3483.5,2.86,https://i.ytimg.com/vi/nD-Dco7xSSU/hqdefault.jpg,332,,
y-FuqptTZow,2026-08-09,Welch Labs,The Most Dangerous Rock in the World,https://www.youtube.com/watch?v=y-FuqptTZow,2023-06-24,3189410,371590,8.58,2792.8,2.29,https://i.ytimg.com/vi/y-FuqptTZow/hqdefault.jpg,791,,
0me3guauqOU,2026-08-09,Reducible,The Unreasonable Effectiveness of JPEG: A Signal Processing Approach,https://www.youtube.com/watch?v=0me3guauqOU,2022-01-19,1259686,376612,3.34,757.5,3.95,https://i.ytimg.com/vi/0me3guauqOU/hqdefault.jpg,2088,,
h7apO7q16V0,2026-08-09,Reducible,The Fast Fourier Transform (FFT): Most Ingenious Algorithm Ever?,https://www.youtube.com/watch?v=h7apO7q16V0,2020-11-14,2244529,376612,5.96,1071.9,5.59,https://i.ytimg.com/vi/h7apO7q16V0/hqdefault.jpg,1703,,
aPQY__2H3tE,2026-08-09,Reducible,5 Simple Steps for Solving Dynamic Programming Problems,https://www.youtube.com/watch?v=aPQY__2H3tE,2020-08-16,1475709,376612,3.92,675.7,3.52,https://i.ytimg.com/vi/aPQY__2H3tE/hqdefault.jpg,1287,,
ngCos392W4w,2026-08-09,Reducible,5 Simple Steps for Solving Any Recursive Problem,https://www.youtube.com/watch?v=ngCos392W4w,2019-12-12,1532771,376612,4.07,630.3,3.29,https://i.ytimg.com/vi/ngCos392W4w/hqdefault.jpg,1263,,
S67z2aekBrI,2026-08-09,Art of the Problem,I Gave ChatGPT a Body,https://www.youtube.com/watch?v=S67z2aekBrI,2026-05-22,4327615,266133,16.26,54779.9,90.68,https://i.ytimg.com/vi/S67z2aekBrI/hqdefault.jpg,1645,,
f8O3XMrC8hg,2026-08-09,Art of the Problem,A Rock Is Trapped Light,https://www.youtube.com/watch?v=f8O3XMrC8hg,2026-02-11,1002653,266133,3.77,5601.4,9.27,https://i.ytimg.com/vi/f8O3XMrC8hg/hqdefault.jpg,1063,,
dcolM6W5Odc,2026-08-09,Art of the Problem,The AI Paradox,https://www.youtube.com/watch?v=dcolM6W5Odc,2025-12-16,1004993,266133,3.78,4258.4,7.05,https://i.ytimg.com/vi/dcolM6W5Odc/hqdefault.jpg,990,,
TQuxVz52w2w,2026-08-09,Art of the Problem,The Stock Market Always Wins,https://www.youtube.com/watch?v=TQuxVz52w2w,2025-06-26,1713492,266133,6.44,4189.5,6.94,https://i.ytimg.com/vi/TQuxVz52w2w/hqdefault.jpg,1633,,
bZ6HodKDxJE,2026-08-09,Art of the Problem,The Debt Paradox,https://www.youtube.com/watch?v=bZ6HodKDxJE,2025-05-14,1460531,266133,5.49,3231.3,5.35,https://i.ytimg.com/vi/bZ6HodKDxJE/hqdefault.jpg,1810,,
DLg5tyxmXqQ,2026-08-09,Art of the Problem,The Computer That Runs The World,https://www.youtube.com/watch?v=DLg5tyxmXqQ,2024-12-10,887411,266133,3.33,1462.0,2.42,https://i.ytimg.com/vi/DLg5tyxmXqQ/hqdefault.jpg,711,,
OFS90-FX6pg,2026-08-09,Art of the Problem,The 35 Year History of ChatGPT,https://www.youtube.com/watch?v=OFS90-FX6pg,2023-11-27,1307691,266133,4.91,1326.3,2.20,https://i.ytimg.com/vi/OFS90-FX6pg/hqdefault.jpg,1615,,
K1a2Bk8NrYQ,2026-08-09,Spanning Tree,Understanding B-Trees: The Data Structure Behind Modern Databases,https://www.youtube.com/watch?v=K1a2Bk8NrYQ,2024-04-29,1111357,186769,5.95,1335.8,10.08,https://i.ytimg.com/vi/K1a2Bk8NrYQ/hqdefault.jpg,759,,
EFg3u_E6eHU,2026-08-09,Spanning Tree,How Dijkstra's Algorithm Works,https://www.youtube.com/watch?v=EFg3u_E6eHU,2020-08-15,2058165,186769,11.02,942.0,7.11,https://i.ytimg.com/vi/EFg3u_E6eHU/hqdefault.jpg,511,,
B2A2pGrDG8I,2026-08-09,Spanning Tree,What Is the Pigeonhole Principle?,https://www.youtube.com/watch?v=B2A2pGrDG8I,2020-08-02,3527681,186769,18.89,1605.0,12.11,https://i.ytimg.com/vi/B2A2pGrDG8I/hqdefault.jpg,503,,
w6E7aQnA4Ws,2026-08-09,Spanning Tree,A Computer Built With Dominos,https://www.youtube.com/watch?v=w6E7aQnA4Ws,2020-07-27,863911,186769,4.63,392.0,2.96,https://i.ytimg.com/vi/w6E7aQnA4Ws/hqdefault.jpg,490,,
INEtYZqtjTo,2026-08-09,Spanning Tree,Understanding Logic Gates,https://www.youtube.com/watch?v=INEtYZqtjTo,2020-06-15,1349941,186769,7.23,601.0,4.53,https://i.ytimg.com/vi/INEtYZqtjTo/hqdefault.jpg,448,,
